Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.231000e-03,-0.01125,-0.028125,0.217187,-0.000961563
-1.230000e-03,-0.0115625,-0.0539062,0.190625,-0.00107188
-1.229000e-03,0.0034375,-0.00390625,0.217187,-0.00095625
-1.228000e-03,-0.0265625,0.0578125,0.192187,-0.00100156
-1.227000e-03,0.0040625,-0.0015625,0.246875,-0.000880938
-1.226000e-03,0.0034375,-0.015625,0.24375,-0.00098625
-1.225000e-03,0.00875,-0.015625,0.24375,-0.00120156
-1.224000e-03,0.003125,-0.00390625,0.190625,-0.00111156
-1.223000e-03,0.00875,-0.003125,0.192187,-0.00123156
-1.222000e-03,0.0090625,-0.0148437,0.320312,-0.00114594
-1.221000e-03,0.0234375,-0.0289063,0.290625,-0.00132156
-1.220000e-03,-0.0165625,-0.040625,0.165625,-0.00118656
-1.219000e-03,0.00375,0.021875,0.26875,-0.00112156
-1.218000e-03,0.00375,0.021875,0.24375,-0.00119625
-1.217000e-03,-0.0065625,0.059375,0.21875,-0.00095125
-1.216000e-03,0.0184375,-0.015625,0.11875,-0.00081125
-1.215000e-03,0.018125,0.0453125,0.167188,-0.000937188
-1.214000e-03,-0.0009375,0.009375,0.220313,-0.000985938
-1.213000e-03,0.0190625,0.0476563,0.190625,-0.00109156
-1.212000e-03,-0.01625,-0.0046875,0.142188,-0.00123656
-1.211000e-03,0.013125,0.034375,0.217187,-0.00136156
-1.210000e-03,0.0034375,0.0335937,0.215625,-0.00129688
-1.209000e-03,0.01375,-0.065625,0.242188,-0.00114156
-1.208000e-03,0.0340625,0.00859375,0.220313,-0.00109625
-1.207000e-03,0.0034375,0.009375,0.16875,-0.000986563
-1.206000e-03,0.0084375,-0.003125,0.31875,-0.00086125
-1.205000e-03,0.00875,-0.040625,0.192187,-0.000951563
-1.204000e-03,-0.00625,-0.0273438,0.24375,-0.000925938
-1.203000e-03,0.00375,0.00859375,0.19375,-0.00083125
-1.202000e-03,-0.0009375,-0.053125,0.195312,-0.00097625
-1.201000e-03,0.0084375,-0.040625,0.192187,-0.000856563
-1.200000e-03,0.0084375,-0.003125,0.267188,-0.00101656
-1.199000e-03,0.0090625,-0.015625,0.317187,-0.00094625
-1.198000e-03,0.0090625,0.096875,0.29375,-0.00102188
-1.197000e-03,0.0184375,0.071875,0.140625,-0.000981563
-1.196000e-03,0.008125,-0.003125,0.167188,-0.000986875
-1.195000e-03,0.00875,-0.0398438,0.096875,-0.000885625
-1.194000e-03,0.0034375,0.009375,0.26875,-0.00082125
-1.193000e-03,0.0084375,-0.0148437,0.24375,-0.000966563
-1.192000e-03,0.0134375,-0.0421875,0.167188,-0.000771563
-1.191000e-03,0.00875,-0.015625,0.220313,-0.000826563
-1.190000e-03,-0.000625,0.0226562,0.221875,-0.000880938
-1.189000e-03,0.008125,-0.065625,0.117188,-0.00085625
-1.188000e-03,-0.0065625,0.034375,0.29375,-0.000955938
-1.187000e-03,0.0034375,-0.00390625,0.192187,-0.000901563
-1.186000e-03,-0.0009375,-0.040625,0.24375,-0.000956563
-1.185000e-03,0.0284375,0.00859375,0.26875,-0.000905938
-1.184000e-03,0.02875,-0.065625,0.19375,-0.00088625
-1.183000e-03,0.0184375,-0.0164063,0.267188,-0.00114625
-1.182000e-03,0.00875,0.0351562,0.217187,-0.00104625
-1.181000e-03,0.00875,0.009375,0.192187,-0.00098625
-1.180000e-03,-0.0009375,0.034375,0.242188,-0.000986563
-1.179000e-03,0.01375,0.046875,0.167188,-0.00132656
-1.178000e-03,-0.00625,-0.0414063,0.217187,-0.00125188
-1.177000e-03,0.00875,-0.0898438,0.195312,-0.00100594
-1.176000e-03,-0.0059375,-0.0398438,0.29375,-0.00104656
-1.175000e-03,-0.0015625,-0.003125,0.217187,-0.00104656
-1.174000e-03,0.01875,-0.0414063,0.192187,-0.00108156
-1.173000e-03,-0.0015625,0.0335937,0.242188,-0.00100656
-1.172000e-03,0.0040625,-0.0148437,0.220313,-0.00114094
-1.171000e-03,0.0084375,0.009375,0.240625,-0.00145625
-1.170000e-03,-0.0009375,-0.0273438,0.267188,-0.00114625
-1.169000e-03,-0.01625,0.034375,0.242188,-0.000891563
-1.168000e-03,0.0034375,-0.028125,0.217187,-0.00105125
-1.167000e-03,-0.0059375,-0.0789063,0.195312,-0.00120625
-1.166000e-03,-0.0065625,-0.0648438,0.245313,-0.00109625
-1.165000e-03,0.0034375,0.0203125,0.19375,-0.00110188
-1.164000e-03,0.0134375,-0.0421875,0.19375,-0.00124156
-1.163000e-03,0.004375,0.0492187,0.170312,-0.00119063
-1.162000e-03,0.0190625,0.009375,0.21875,-0.00122156
-1.161000e-03,0.00375,0.021875,0.245313,-0.00110125
-1.160000e-03,0.0184375,-0.0421875,0.217187,-0.00105156
-1.159000e-03,0.01875,-0.0289063,0.242188,-0.00110656
-1.158000e-03,0.0040625,-0.0148437,0.220313,-0.00113094
-1.157000e-03,0.00875,0.0210937,0.292188,-0.00099125
-1.156000e-03,0.0084375,0.0210937,0.24375,-0.00101594
-1.155000e-03,0.01875,-0.015625,0.31875,-0.00105094
-1.154000e-03,0.03875,-0.0265625,0.245313,-0.000920938
-1.153000e-03,0.00875,0.009375,0.142188,-0.000931563
-1.152000e-03,-0.01125,-0.0414063,0.242188,-0.000871875
-1.151000e-03,-0.006875,0.0328125,0.267188,-0.00105156
-1.150000e-03,0.0134375,0.0210937,0.26875,-0.000966563
-1.149000e-03,-0.00125,-0.0421875,0.29375,-0.000901563
-1.148000e-03,-0.00125,-0.0523438,0.19375,-0.00085125
-1.147000e-03,0.013125,-0.078125,0.240625,-0.00098625
-1.146000e-03,0.0184375,-0.00390625,0.242188,-0.00107688
-1.145000e-03,0.00375,0.009375,0.220313,-0.00126125
-1.144000e-03,0.009375,0.046875,0.271875,-0.00123625
-1.143000e-03,-0.006875,0.0078125,0.165625,-0.00126656
-1.142000e-03,-0.0009375,-0.003125,0.295312,-0.00127625
-1.141000e-03,-0.0015625,0.0335937,0.242188,-0.00137125
-1.140000e-03,0.01375,-0.00234375,0.195312,-0.00129594
-1.139000e-03,0.00375,-0.0289063,0.21875,-0.00129625
-1.138000e-03,-0.01125,-0.003125,0.24375,-0.00128656
-1.137000e-03,-0.00625,-0.0273438,0.117188,-0.00138156
-1.136000e-03,-0.00125,-0.0664062,0.21875,-0.00135156
-1.135000e-03,0.01375,-0.0414063,0.11875,-0.00129125
-1.134000e-03,0.00375,0.0335937,0.14375,-0.00122156
-1.133000e-03,0.01875,0.0078125,0.192187,-0.00124156
-1.132000e-03,0.0134375,0.009375,0.21875,-0.00116625
-1.131000e-03,0.014375,0.0226562,0.0953125,-0.00113063
-1.130000e-03,0.01875,0.021875,0.195312,-0.00096625
-1.129000e-03,0.00375,-0.0414063,0.26875,-0.00114656
-1.128000e-03,-0.001875,0.0210937,0.44375,-0.00118156
-1.127000e-03,-0.00125,-0.028125,0.19375,-0.00106125
-1.126000e-03,0.00375,-0.0773437,0.21875,-0.00107125
-1.125000e-03,0.00875,-0.0289063,0.24375,-0.00125125
-1.124000e-03,0.00375,-0.0148437,0.39375,-0.00117625
-1.123000e-03,0.0234375,0.009375,0.11875,-0.00114625
-1.122000e-03,0.01375,-0.078125,0.246875,-0.00104656
-1.121000e-03,0.01375,-0.0140625,0.26875,-0.00112094
-1.120000e-03,0.0034375,0.0203125,0.342187,-0.000971563
-1.119000e-03,-0.00625,0.00859375,0.217187,-0.00106688
-1.118000e-03,0.01875,-0.040625,0.220313,-0.00112656
-1.117000e-03,0.0084375,0.0210937,0.16875,-0.000991563
-1.116000e-03,0.0184375,-0.0148437,0.21875,-0.00103625
-1.115000e-03,-0.00125,-0.0046875,0.217187,-0.000986563
-1.114000e-03,0.003125,-0.028125,0.242188,-0.000971875
-1.113000e-03,0.01375,-0.00234375,0.29375,-0.000950938
-1.112000e-03,0.0090625,-0.040625,0.220313,-0.000995625
-1.111000e-03,-0.0015625,-0.00390625,0.192187,-0.00077625
-1.110000e-03,0.0034375,0.0335937,0.267188,-0.00085125
-1.109000e-03,0.0284375,0.0210937,0.19375,-0.000981563
-1.108000e-03,0.00375,-0.028125,0.21875,-0.00089125
-1.107000e-03,-0.00125,0.034375,0.170312,-0.00105156
-1.106000e-03,-0.01125,-0.0664062,0.367188,-0.000865938
-1.105000e-03,-0.00125,-0.0539062,0.19375,-0.00085625
-1.104000e-03,-0.00625,-0.015625,0.16875,-0.000930938
-1.103000e-03,0.0090625,-0.028125,0.220313,-0.000975938
-1.102000e-03,0.0034375,-0.065625,0.267188,-0.000976563
-1.101000e-03,0.0134375,0.00859375,0.167188,-0.000871563
-1.100000e-03,0.02375,-0.003125,0.142188,-0.000996563
-1.099000e-03,0.014375,-0.00234375,0.220313,-0.000975938
-1.098000e-03,0.01375,0.021875,0.267188,-0.000861563
-1.097000e-03,-0.01125,0.00859375,0.292188,-0.00090125
-1.096000e-03,-0.0059375,0.0335937,0.167188,-0.00086625
-1.095000e-03,0.00875,-0.028125,0.270312,-0.000855938
-1.094000e-03,0.0334375,-0.00390625,0.24375,-0.00107656
-1.093000e-03,0.003125,-0.0414063,0.167188,-0.00100656
-1.092000e-03,-0.02125,-0.028125,0.31875,-0.00095125
-1.091000e-03,-0.0109375,-0.028125,0.317187,-0.00110156
-1.090000e-03,0.00875,0.034375,0.29375,-0.00110656
-1.089000e-03,-0.0009375,-0.0265625,0.271875,-0.00105094
-1.088000e-03,0.0134375,-0.0539062,0.11875,-0.00112656
-1.087000e-03,0.003125,-0.0171875,0.189063,-0.00114688
-1.086000e-03,0.00375,0.0335937,0.145312,-0.00114125
-1.085000e-03,0.023125,-0.003125,0.267188,-0.00109656
-1.084000e-03,0.0140625,-0.015625,0.26875,-0.000986563
