Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.230000e-03,0.0234375,-0.0296875,0.167188,-0.00115688
-1.229000e-03,0.0134375,-0.0789063,0.16875,-0.00100188
-1.228000e-03,0.0084375,-0.0164063,0.21875,-0.000856563
-1.227000e-03,0.009375,-0.0523438,0.170312,-0.00101063
-1.226000e-03,0.03875,-0.0164063,0.320312,-0.00089125
-1.225000e-03,0.0134375,-0.0414063,0.117188,-0.00100625
-1.224000e-03,0.0284375,0.021875,0.140625,-0.000961875
-1.223000e-03,0.0240625,-0.00390625,0.220313,-0.00106125
-1.222000e-03,0.02375,-0.065625,0.21875,-0.00092625
-1.221000e-03,0.0084375,-0.0289063,0.142188,-0.00108656
-1.220000e-03,0.01875,-0.00234375,0.145312,-0.00098625
-1.219000e-03,0.00875,-0.0398438,0.292188,-0.00107625
-1.218000e-03,0.013125,0.00859375,0.242188,-0.00107688
-1.217000e-03,0.02375,-0.003125,0.16875,-0.00090125
-1.216000e-03,0.009375,0.0101562,0.14375,-0.000855938
-1.215000e-03,0.01375,-0.0164063,0.14375,-0.00097625
-1.214000e-03,0.0034375,-0.053125,0.192187,-0.000716563
-1.213000e-03,0.0040625,0.046875,0.16875,-0.00084125
-1.212000e-03,0.0184375,-0.00390625,0.21875,-0.000821563
-1.211000e-03,0.0084375,-0.028125,0.192187,-0.000845938
-1.210000e-03,0.0084375,-0.0414063,0.292188,-0.000801563
-1.209000e-03,0.024375,-0.0523438,0.16875,-0.00063625
-1.208000e-03,0.01875,0.0078125,0.19375,-0.00055125
